id,base_product_id,name,description,retail_price,pet_type,product_type,age,unit,size,flavour,image_urls,is_active,created_at,updated_at,stock_quantity,thumbnail_url,default_rating,is_featured,label,row_index,brand,wholesale_price
1,1,Bestpet Grume Kitten Chicken 85g,A nutritious food formulated for kittens with chicken (85g) helps maintain overall health.,0.300,"[""cat""]",food,,g,85.00,,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/001.png,4.5,false,Food,1,Atlaspet,0.250
2,1,Bestpet Grume Adult Beef 85g,A nutritious meal designed for adult pets with beef (85g) ideal for everyday feeding.,0.300,"[""cat""]",food,adult,g,85,beef,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/002.png,4.5,true,Food,2,Atlaspet,0.250
3,1,Bestpet Grume Adult Chicken 85g,A nutritious meal designed for adult pets with chicken (85g) supports daily nutrition.,0.300,"[""cat""]",food,adult,g,85,chicken,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/003.png,4.7,false,Food,3,Atlaspet,0.250
4,1,Bestpet Grume Adult Salmon 85g,A high-quality meal designed for adult pets with salmon (85g) helps maintain overall health.,0.300,"[""cat""]",food,adult,g,85,salmon,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/004.png,4.2,false,Food,4,Atlaspet,0.250
5,1,Bestpet Grume Adult Tuna 85g,A balanced food formulated for adult pets with tuna (85g) helps maintain overall health.,0.300,"[""cat""]",food,adult,g,85,tuna,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/005.png,4.3,true,Food,5,Atlaspet,0.250
6,1,Bestpet Grume Adult Lamb 85g,A wholesome meal designed for adult pets with lamb (85g) helps maintain overall health.,0.300,"[""cat""]",food,,g,85.00,lamb,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/4d0849fe-1c90-4224-a4f2-77af9a4f171b/thumbnail-1769635288713.png,4.5,false,Food,6,Atlaspet,0.250
7,7,Bestpet Kitten Chicken 85g,A nutritious nutrition made for kittens with chicken (85g) supports daily nutrition.,0.250,"[""cat""]",food,kitten,g,85,chicken,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/387f2e48-a105-49c9-925b-fffb31fd3ba6/thumbnail-1768567347033.png,4.9,false,Food,7,Atlaspet,0.200
8,7,Bestpet Adult Chicken 85g,A high-quality meal designed for adult pets with chicken (85g) ideal for everyday feeding.,0.250,"[""cat""]",food,,g,85.00,chicken,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/decd269c-edf2-427c-a8ef-df9d284c972d/thumbnail-1768567438585.png,4.5,false,Food,8,Atlaspet,0.200
9,7,Bestpet Adult Beef 85g,A balanced meal designed for adult pets with beef (85g) supports daily nutrition.,0.250,"[""cat""]",food,,g,85.00,beef,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/cb1dabd8-a2e1-42d8-8e4d-8b70c4f0a63d/thumbnail-1768567515093.png,4.5,false,Food,9,Atlaspet,0.200
10,7,Bestpet Adult Lamb 85g,A nutritious nutrition made for adult pets with lamb (85g) ideal for everyday feeding.,0.250,"[""cat""]",food,,g,85.00,lamb,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/7501c61b-4a6e-434a-939f-21e9dc81922a/thumbnail-1768567207615.png,4.5,false,Food,10,Atlaspet,0.200
11,7,Bestpet adult Salmon 85g,A wholesome nutrition made for adult pets with salmon (85g) ideal for everyday feeding.,0.250,"[""cat""]",food,,g,85.00,salmon,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/011.jpg,4.5,true,Food,11,Atlaspet,0.200
12,12,Bestpet adult beef 400g,A balanced food formulated for adult pets with beef (400g) supports daily nutrition.,0.500,"[""cat""]",food,,g,400.00,beef,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/012.png,4.5,false,Food,12,Atlaspet,0.350
13,12,Bestpet adult Chicken 400g,A nutritious food formulated for adult pets with chicken (400g) supports daily nutrition.,0.500,"[""cat""]",food,,g,400.00,chicken,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/013.jpeg,4.5,false,Food,13,Atlaspet,0.350
14,12,Bestpet kitten chicken 400g,A nutritious nutrition made for kittens with chicken (400g) ideal for everyday feeding.,0.500,"[""cat""]",food,,g,400.00,chicken,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/014.png,4.5,false,Food,14,Atlaspet,0.350
15,12,Bestpet Adult Lamb 400g,A high-quality nutrition made for adult pets with lamb (400g) supports daily nutrition.,0.500,"[""cat""]",food,,g,400.00,lamb,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/7fab1e7e-439b-4eca-9b75-996a1db90c33/thumbnail-1768569859378.png,4.5,false,Food,15,Atlaspet,0.350
16,12,Bestpet Adult Salmon 400g,A wholesome meal designed for adult pets with salmon (400g) helps maintain overall health.,0.500,"[""cat""]",food,,g,400.00,salmon,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/d7be6f29-6ccb-4b7c-9fd5-3bebdb762d71/thumbnail-1768569597812.png,4.5,false,Food,16,Atlaspet,0.350
17,12,Bestpet Adult Tuna & Anchovy 400g,A balanced nutrition made for adult pets with tuna (400g) supports daily nutrition.,0.500,"[""cat""]",food,,g,400.00,tuna,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/b14c3a87-7d7f-4c94-9d08-36c536e9321f/thumbnail-1768569621402.png,4.5,false,Food,17,Atlaspet,0.350
18,18,Bestpet Kitten Chicken 1kg,A balanced nutrition made for kittens with chicken (1kg) helps maintain overall health.,1.500,"[""cat""]",food,,kg,1.00,chicken,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/83cffa8f-31fb-4d9e-9707-8d2fa28f0331/thumbnail-1768571127652.png,4.5,false,Food,18,Atlaspet,1.400
19,18,Bestpet Adult Chicken 1kg,A wholesome meal designed for adult pets with chicken (1kg) ideal for everyday feeding.,1.500,"[""cat""]",food,,kg,1.00,chicken,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/019.jpeg,4.5,false,Food,19,Atlaspet,1.300
20,18,Bestpet Adult Mix 1Kg,A nutritious food formulated for adult pets (1kg) supports daily nutrition.,1.500,"[""cat""]",food,,kg,1.00,,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/0361b9c9-cc79-4d75-92bd-ac96423f5020/thumbnail-1768571251706.png,4.5,false,Food,20,Atlaspet,1.300
21,18,Bestpet Adult Salmon 1Kg,A balanced meal designed for adult pets with salmon (1kg) ideal for everyday feeding.,1.500,"[""cat""]",food,,kg,1.00,salmon,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/b1d3b183-17a3-4d33-aaf6-16ccdf03265e/thumbnail-1768579490581.jpeg,4.5,false,Food,21,Atlaspet,1.300
