id,base_product_id,name,description,retail_price,wholesale_price,brand,pet_type,product_type,age,unit,size,flavour,image_urls,is_active,created_at,updated_at,stock_quantity,thumbnail_url,default_rating,is_featured,label,row_index
1,1,Bestpet Grume Kitten Chicken 85g,A nutritious food formulated for kittens with chicken (85g) helps maintain overall health.,0.3,0.25,Atlaspet,cat,food,kitten,g,85,chicken,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/001.png,3.6,FALSE,Food,1
2,1,Bestpet Grume Adult Beef 85g,A nutritious meal designed for adult pets with beef (85g) ideal for everyday feeding.,0.3,0.25,Atlaspet,cat,food,adult,g,85,beef,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/002.png,4.5,FALSE,Food,2
3,1,Bestpet Grume Adult Chicken 85g,A nutritious meal designed for adult pets with chicken (85g) supports daily nutrition.,0.3,0.25,Atlaspet,cat,food,adult,g,85,chicken,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/003.png,4.7,FALSE,Food,3
4,1,Bestpet Grume Adult Salmon 85g,A high-quality meal designed for adult pets with salmon (85g) helps maintain overall health.,0.3,0.25,Atlaspet,cat,food,adult,g,85,salmon,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/004.png,4.2,FALSE,Food,4
5,1,Bestpet Grume Adult Tuna 85g,A balanced food formulated for adult pets with tuna (85g) helps maintain overall health.,0.3,0.25,Atlaspet,cat,food,adult,g,85,tuna,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/005.png,4.3,FALSE,Food,5
6,1,Bestpet Grume Adult Lamb 85g,A wholesome meal designed for adult pets with lamb (85g) helps maintain overall health.,0.3,0.25,Atlaspet,cat,food,adult,g,85,lamb,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/006.png,3.9,FALSE,Food,6
7,7,Bestpet Kitten Chicken 85g,A nutritious nutrition made for kittens with chicken (85g) supports daily nutrition.,0.25,0.2,Atlaspet,cat,food,kitten,g,85,chicken,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/387f2e48-a105-49c9-925b-fffb31fd3ba6/thumbnail-1768567347033.png,4.9,FALSE,Food,7
8,7,Bestpet Adult Chicken 85g,A high-quality meal designed for adult pets with chicken (85g) ideal for everyday feeding.,0.25,0.2,Atlaspet,cat,food,adult,g,85,chicken,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/decd269c-edf2-427c-a8ef-df9d284c972d/thumbnail-1768567438585.png,3.7,FALSE,Food,8
9,7,Bestpet Adult Beef 85g,A balanced meal designed for adult pets with beef (85g) supports daily nutrition.,0.25,0.2,Atlaspet,cat,food,adult,g,85,beef,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/cb1dabd8-a2e1-42d8-8e4d-8b70c4f0a63d/thumbnail-1768567515093.png,3.9,FALSE,Food,9
10,7,Bestpet Adult Lamb 85g,A nutritious nutrition made for adult pets with lamb (85g) ideal for everyday feeding.,0.25,0.2,Atlaspet,cat,food,adult,g,85,lamb,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/7501c61b-4a6e-434a-939f-21e9dc81922a/thumbnail-1768567207615.png,3.5,FALSE,Food,10
11,7,Bestpet adult Salmon 85g,A wholesome nutrition made for adult pets with salmon (85g) ideal for everyday feeding.,0.25,0.2,Atlaspet,cat,food,adult,g,85,salmon,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/011.jpg,4.2,FALSE,Food,11
12,12,Bestpet adult beef 400g,A balanced food formulated for adult pets with beef (400g) supports daily nutrition.,0.5,0.35,Atlaspet,cat,food,adult,g,400,beef,,TRUE,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/012.png,3.6,FALSE,Food,12
